text
I don't think I'm ever going to get tired of watching you cook and eat in that amazing country!  Thanks you!
"No music, no words!! The last word ""super"" Sums it all... Simply the best."
The tool you made to warm the buns is fantastic. So clever.
"Бревно с ручкой-гениальное изобретение Таваккула для приготовления вкуснейшего мяса. Мы искренне завидуем вашему оператору, который может наслаждаться кулинарными шедеврами среди снежных гор. Красота природы умиротворяет! Большое спасибо за видео!!!"
Always love his style of cooking old ways…so many he got to teach us…blessing for him and all his family and friends.
A nice cup of tea between cooking is really the best part.  Absolutely genius!
"You definitely captivates us with ur UNIQUE style of cooking and craftsmanship, it’s an original way with a modern twist."
"How satisfyingly peaceful, no music, and no talking, just the noises of nature and cooking.
Superb"
"Very good video, I saw the last video from the first video, and I like this food show. I love the first video, which is really simple, and now it's much better, so a lot of things need to be done consistently, and it will improve. The reason for liking it is also very simple, that is, there is love, always give delicious food to children, and thumbs up who agree with this view, thank you"
"Interesting technique using the smoldering log to cook the steaks on both sides. Beautiful scenery, good looking food, and a good cup of tea in nearly every video. I literally can’t watch your videos without having a good cup of tea myself."
"Виртуозный маг кулинарии!  Интересный способ приготовления барбекю! Спасибо,  берём на заметку! ️️️"
"15 min video. Cooks. Says a single word. 2.3 M views.
The world needs you now more than ever"
Это же духовка на природе!!! Как вообще можно так придумать? Красиво и уверен что вкусно. Всем большой привет из Казахстана. Салам всем!!!
Я Армянин и просто получаю огромное удовольствие от ваших видео
"И что только не придумает Таваккул, не голова, а неиссякаемый источник всяких идей и ему только известных возможностей. Всему то он найдет применение. Он бы и на необитаемом острове не пропал. Не перестаю и удивляться и восхищаться этим человеком. Кажется, что он умеет все! Очередное блюдо заставляет только глотать слюну. Да. еще на природе, да при такой замечательной погоде и чаек пьется с удовольствием. Спасибо за доставленное удовольствие. Оператору - респект. Молодец! Супер! Минск, Беларусь"
Excellent you will never go hungry the work u do feeding the children god has a special place for you
"This man eats much better living out in the "" wilderness"" than most people do in the cities. Super !!!!!"
"Как всё красиво, как всегда в Ваших видео, очень нравится природа, и как всё снято. Смотрю давно канал но комментарий к видео как то не решался оставить. Спасибо большое, Очень приятно смотреть и что то для себя новое отмечать. Вот сегодня деревянная кружка  для чая, напитков, просто поразила, заинтересовала. И так всегда. Спасибо огромное."
"Своеобразный канал.Всё происходит на глазах в природе.Другие кулинарные каналы как на даче, а здесь экзотика..Удивительная готовка ."
"Дай Бог тебе здоровья мужик , спасибо тебе за самые лучшие рецепты, Ивлев нервно курит в сторонке. Ещё раз спасибо , смотрю тебя всегда. Крутой ты мужик!"
"I would choose eating this meal, with that man, in that setting, over any high end restaurant on the planet!"
The rendered fat with the crispy coating looked amazing
This food was one of your best creations.  A true masterpiece of cooking and filming.
I could honestly tell you tell you that your videos are a moment of happiness than a world of chaos don't ever stop posting I really enjoy what you give the world thank you so very much May you and all those you care about be blessed
Ракурсы съёмки просто великолепные! Работа оператора на высоте! Природа неповторимая! Уважаемый мужчина - повар - просто бесподобен!!!!! Thank you so much!!!!
I love watching this gentleman.   Work ethic is amazing.   His heart with animals and children is filling.  His cooing is amazing.  Food preparation and end results are fun to watch.
"Even at home, cuddled up in a cosy bed, you can really feel the crisp air and the freezing cold temperature there ️"
Какой крутой сегодня процесс приготовления мяса.  Спасибо за видео.
My favorite cooking channel! He brings me so much peace just watching these. In a world full of turmoil I am so grateful to have his videos to calm my spirit and know some things are still ok in the world.
"The chef always has new ways to prepare food, I love it, I'm a fan of this chef! love this channel!"
"What a great video, can never get tired of his style of cooking, the environment is so quiet and peaceful."
"Действительно, Супер! Просто супер, Таваккул!"
